id;nickname;male;female;skin;hair;height;tattoo;age;weapon;arrested;convicted;rape;extortion;kidnapping;theft;homicide;arms_trafficking;drug_trafficking;faction;Dc;Bc;Cc;CC
BSZW;1;1;0;3;1;3;0;31;1;1;1;0;0;0;0;0;0;1;0;0.0005390835579514;0.0;0.062870699881376;0.0
XAZ1;1;1;0;2;1;2;0;28;1;0;1;0;0;0;1;0;0;1;1;0.0037735849056603;0.0001315724433511;0.0555372593634921;0.7142857142857143
U2PR;1;1;0;0;1;1;0;38;1;1;1;0;0;0;1;0;0;1;0;0.0016172506738544;0.0016168629834136;0.0678319376896917;0.0
H1W5;0;1;0;1;0;4;0;31;0;1;1;0;0;0;0;0;0;1;0;0.0016172506738544;2.907678306102926e-07;0.0399010539901054;0.6666666666666666
Z0HZ;1;1;0;1;0;3;0;38;1;1;1;0;0;0;0;0;0;1;0;0.0026954177897574;0.0032327567407252;0.0701668116654688;0.1
IAVD;0;1;0;1;2;3;0;64;0;1;1;0;0;0;0;0;0;1;0;0.0005390835579514;0.0;0.0719382610718994;0.0
GVL0;0;1;0;4;3;5;0;29;0;1;0;0;0;0;1;0;0;0;0;0.0043126684636118;0.0;0.0323052541753017;1.0
PDRT;1;1;0;1;1;4;0;27;1;1;1;0;0;0;0;1;0;1;0;0.0005390835579514;0.0;0.0293796227371355;0.0
PSKW;0;1;0;3;1;5;0;35;0;1;1;0;0;0;0;0;0;1;0;0.0097035040431266;0.0297493801578799;0.0537494204914232;0.3202614379084967
MWEY;0;1;0;2;1;2;0;36;1;1;0;0;0;0;0;1;0;1;0;0.0005390835579514;0.0;0.0727251342768651;0.0
Q2XN;0;1;0;1;0;5;0;47;1;1;0;0;0;0;0;0;0;1;0;0.0026954177897574;0.0002691056272298;0.0592841163310962;0.9
NVSY;0;1;0;1;2;3;0;38;1;1;1;0;0;0;1;0;0;1;0;0.0010781671159029;0.0010781671159029;0.0387507833716315;0.0
E3A8;0;1;0;1;2;5;0;58;1;1;0;0;0;0;0;0;0;0;0;0.0032345013477088;0.0002837305568051;0.0534782483351111;0.9333333333333332
XJFB;1;1;0;3;1;3;0;26;0;1;0;0;0;0;0;0;0;1;0;0.0016172506738544;0.0002685822451347;0.0430204782114613;0.3333333333333333
JCPW;0;1;0;2;0;1;0;21;0;0;0;0;0;0;0;0;0;1;0;0.0005390835579514;0.0;0.0398967630928056;0.0
TRLM;0;0;1;3;0;2;0;41;0;1;1;0;0;0;1;0;0;1;0;0.0010781671159029;0.0010781671159029;0.0510077817801853;0.0
A9PJ;1;1;0;3;1;4;0;32;1;1;1;0;0;0;1;0;0;1;0;0.0026954177897574;0.001606413693605;0.0450976101913305;0.3
P5J2;1;1;0;2;1;2;0;36;1;1;1;0;0;0;1;1;0;1;0;0.0016172506738544;0.0;0.0683467816219004;1.0
QLGT;0;1;0;3;1;3;0;35;0;1;1;0;0;0;0;0;0;1;0;0.0005390835579514;0.0;0.0507093846532352;0.0
YJI0;1;1;0;2;1;3;0;25;0;0;0;0;0;0;0;0;0;1;0;0.0016172506738544;0.0442827775306251;0.0432713615899601;0.0
AJNA;0;1;0;2;1;2;0;30;1;1;1;0;0;0;0;1;0;1;0;0.0032345013477088;4.6024393759457743e-05;0.051192184567833;0.6666666666666666
KELM;0;1;0;1;2;2;0;24;0;0;0;0;0;0;1;0;0;0;0;0.0010781671159029;0.0;0.046592821440233;1.0
UYL7;0;1;0;2;1;2;0;31;1;1;1;0;0;0;1;0;0;1;0;0.0086253369272237;0.1492003960908524;0.0775112819655691;0.0
M1HL;1;1;0;3;1;2;0;27;0;1;1;0;0;0;0;0;0;1;0;0.0010781671159029;0.0;0.0376260116427658;1.0
MEWG;1;1;0;2;1;5;0;27;1;0;0;0;0;0;1;1;0;1;0;0.0005390835579514;0.0;0.0552297019680233;0.0
C8FB;1;1;0;3;1;4;0;32;0;1;1;0;0;0;1;1;0;0;1;0.0005390835579514;0.0;0.0375498471690856;0.0
GNGV;1;1;0;3;0;2;0;27;1;1;0;0;0;0;1;0;0;1;0;0.0010781671159029;0.0;0.0418358141632837;1.0
B8RC;1;1;0;3;2;3;0;44;0;1;1;0;0;0;1;0;0;0;0;0.0010781671159029;0.0;0.0252031194804489;1.0
JCCR;1;0;1;3;0;2;0;28;1;1;1;0;0;0;1;1;0;1;0;0.0043126684636118;0.0078467575994594;0.0470489765896466;0.25
GVJO;1;1;0;3;0;3;0;52;1;1;1;0;0;0;0;0;0;1;0;0.0032345013477088;0.001618026054736;0.0429626884683975;0.2
G2PS;0;1;0;2;1;2;0;23;0;0;0;0;0;0;0;0;0;0;0;0.0005390835579514;0.0;0.0627749576988155;0.0
PGIU;0;1;0;0;2;2;0;28;1;0;0;0;0;0;1;1;0;1;0;0.0005390835579514;0.0;0.0671177364498154;0.0
SKU1;1;1;0;2;1;2;0;26;1;1;1;0;0;0;0;0;0;1;0;0.0021563342318059;0.0004841575147492;0.0633776350404865;0.1666666666666666
UGQC;0;1;0;1;1;3;0;27;0;0;0;0;0;0;0;0;0;1;0;0.0005390835579514;0.0;0.0362751041320374;0.0
KHGR;0;1;0;3;1;2;0;38;0;1;0;0;0;0;0;0;0;1;0;0.0005390835579514;0.0;0.0575140297026633;0.0
R9DE;1;1;0;1;0;2;0;45;0;1;1;1;0;0;0;0;0;1;0;0.0010781671159029;0.0;0.0461350974930362;1.0
NVUS;1;1;0;3;2;3;0;46;1;1;1;0;0;0;0;0;0;1;0;0.0010781671159029;0.4102233969242579;0.0677180301536889;0.0
LZQT;0;1;0;1;2;3;0;38;0;0;0;0;0;0;0;0;0;1;0;0.0005390835579514;0.0;0.0635252217389815;0.0
R5OR;1;1;0;1;2;3;0;43;1;1;1;0;0;0;0;0;0;1;0;0.0016172506738544;0.0001483237002819;0.0453113168372456;0.3333333333333333
UOEP;0;1;0;2;1;2;0;29;0;1;1;0;0;0;0;0;0;1;0;0.0005390835579514;0.0;0.0463692038495188;0.0
F3XS;0;1;0;3;0;5;0;22;0;0;0;0;0;0;0;0;0;0;0;0.0010781671159029;0.0;0.0512728378341026;1.0
GCV9;1;1;0;3;0;2;0;30;1;1;1;0;0;0;0;1;0;1;1;0.0016172506738544;0.0012402732113558;0.0454356185857398;0.0
ONLK;1;1;0;2;0;2;0;27;1;1;1;0;0;0;0;1;0;1;0;0.0053908355795148;0.0224621056824757;0.0534797901170501;0.2888888888888888
E5RO;1;1;0;1;2;2;0;28;0;1;1;0;0;0;0;0;0;1;0;0.0016172506738544;0.0010781671159029;0.0375392087422847;0.3333333333333333
Q3GE;0;1;0;3;0;3;0;35;0;1;1;0;0;0;0;0;0;1;0;0.0005390835579514;0.0;0.0399638063640476;0.0
RDW8;0;1;0;4;3;5;0;43;0;1;0;0;0;0;0;0;0;1;0;0.0064690026954177;0.0;0.0511131929901906;1.0
BUW4;1;1;0;1;3;3;0;63;1;1;1;0;0;0;0;1;0;1;1;0.0016172506738544;0.0973190067798335;0.0497625881911098;0.0
X0VN;0;1;0;2;1;5;0;37;1;1;0;0;0;0;1;0;0;1;0;0.0021563342318059;0.0;0.0563709848968304;1.0
KRZA;1;1;0;2;1;3;0;30;1;1;1;0;0;0;0;0;0;1;0;0.0010781671159029;0.0;0.0577953639082751;1.0
P0K0;0;1;0;1;0;3;0;31;1;1;0;0;0;0;0;0;0;1;0;0.0016172506738544;0.0012144084598484;0.0636975482453128;0.0
OLUR;1;1;0;1;2;3;0;29;1;1;1;0;0;0;0;0;0;1;0;0.0026954177897574;0.0075308868128065;0.0590294351630867;0.1
Z4X6;0;1;0;1;0;2;0;28;0;0;0;0;0;0;0;0;0;1;0;0.0005390835579514;0.0;0.065568555370966;0.0
Y1ZR;1;1;0;1;2;3;0;42;1;1;1;0;0;0;1;1;0;1;0;0.0161725067385444;0.1102342467181657;0.0733404499268572;0.0919540229885057
U0U3;0;1;0;3;0;3;0;35;0;1;1;0;0;0;0;0;0;1;0;0.0021563342318059;5.815356612205852e-07;0.035139230914946;0.5
B3S7;1;1;0;2;1;2;0;26;0;0;0;0;0;0;0;0;0;1;0;0.0010781671159029;2.218143164941376e-06;0.0629069451980466;0.0
XSUD;1;0;1;3;0;2;0;24;0;0;0;0;0;0;0;0;0;1;0;0.0016172506738544;0.0004484073646836;0.0430224737342579;0.0
THK3;0;1;0;3;1;3;0;45;1;1;1;0;1;0;1;1;0;1;0;0.0010781671159029;0.0;0.0412552264033449;1.0
O5IK;1;1;0;4;1;5;0;40;1;1;1;0;0;0;1;1;0;1;0;0.0016172506738544;0.0010781671159029;0.0661248351334973;0.3333333333333333
Y3UJ;0;1;0;3;2;2;0;30;1;1;1;0;0;0;1;0;0;1;0;0.0010781671159029;0.0010781671159029;0.0511005206468141;0.0
SWQD;0;0;1;1;2;2;0;30;1;1;1;0;0;0;0;0;0;1;0;0.0016172506738544;0.0;0.0667266187050359;1.0
BCFO;1;1;0;1;1;3;0;67;1;1;1;0;0;0;0;0;0;1;1;0.012398921832884;0.0521928693391547;0.0472106281176829;0.1106719367588932
OOS1;1;1;0;1;0;3;0;43;1;1;1;0;0;0;1;0;0;0;0;0.0005390835579514;0.0;0.0501364901754101;0.0
KYSK;0;1;0;1;1;4;0;28;0;1;1;0;0;0;0;0;0;1;0;0.0005390835579514;0.0;0.0362751041320374;0.0
XTT9;1;1;0;1;0;3;0;31;1;1;1;0;0;0;0;1;0;1;0;0.0010781671159029;0.0010781671159029;0.0403050582304884;0.0
EAIU;1;1;0;1;0;3;0;30;1;1;1;0;0;0;1;0;1;0;0;0.0005390835579514;0.0;0.0483993007540376;0.0
V8MF;1;1;0;2;1;2;0;31;1;1;1;0;0;0;0;1;0;1;0;0.0005390835579514;0.0;0.059176316712923;0.0
GHUB;1;1;0;3;1;3;0;28;1;1;1;0;0;0;0;0;0;1;0;0.0005390835579514;0.0;0.0665996481528022;0.0
RLLT;1;1;0;1;1;2;0;32;1;1;1;0;0;0;1;0;1;1;0;0.0010781671159029;0.0;0.0604845283511037;1.0
SHYM;1;1;0;3;1;2;0;50;1;1;1;0;0;0;1;0;0;1;1;0.0037735849056603;0.3491107318206298;0.0582893413775766;0.0952380952380952
S0MO;1;1;0;1;1;3;0;43;1;1;1;0;0;0;0;1;0;1;1;0.0005390835579514;0.0;0.0727251342768651;0.0
HHO2;1;1;0;2;1;3;0;30;1;1;1;0;0;0;1;0;0;1;0;0.0032345013477088;0.0002152845017838;0.0342953280704024;0.8666666666666667
OZO6;1;1;0;2;1;3;0;36;1;1;1;0;0;0;0;0;0;1;0;0.0010781671159029;0.0;0.0485195647625026;1.0
IPMR;0;1;0;3;1;3;0;31;0;1;1;0;0;0;0;0;0;1;0;0.0010781671159029;0.0;0.0507690623460506;1.0
PSM9;0;1;0;3;3;5;0;25;1;0;0;0;0;0;0;0;0;1;0;0.0005390835579514;0.0;0.0585025860981455;0.0
VCJZ;0;1;0;3;0;3;0;26;1;1;1;0;0;0;1;0;0;1;0;0.0010781671159029;0.0;0.0516425389755011;1.0
X9PY;0;1;0;2;1;3;0;30;1;1;1;0;0;0;0;0;0;0;0;0.0005390835579514;0.0;0.0632717102121563;0.0
G5GC;1;1;0;2;1;3;0;40;1;1;1;0;0;0;1;1;1;0;1;0.0016172506738544;4.846130510171543e-07;0.0574463472794277;0.6666666666666666
WUE5;1;1;0;3;1;2;0;32;1;1;1;0;0;0;1;1;0;1;0;0.0059299191374663;9.796937439362793e-05;0.0685311068420274;0.509090909090909
B8SB;0;1;0;1;1;3;0;29;0;0;0;0;0;0;0;0;0;1;0;0.0005390835579514;0.0;0.0672808385622574;0.0
O3K7;0;1;0;1;2;3;0;31;0;1;1;0;0;0;0;0;0;1;1;0.0021563342318059;6.719783026275528e-05;0.0604904454444661;0.6666666666666666
BXW0;1;1;0;1;2;2;0;37;0;1;1;0;0;0;0;0;0;1;0;0.0010781671159029;0.0;0.0375384490853165;1.0
JPFY;1;1;0;3;2;3;0;34;0;1;1;0;0;0;0;0;0;1;0;0.0010781671159029;0.0;0.0661649308032529;1.0
QWFI;1;1;0;2;1;2;0;27;1;1;0;0;0;0;0;0;0;1;0;0.0005390835579514;0.0;0.0398967630928056;0.0
EHXF;0;1;0;3;1;4;0;29;1;1;1;0;0;0;0;0;0;0;0;0.0005390835579514;0.0;0.0461592057132903;0.0
VYRO;1;1;0;1;2;3;0;49;1;1;1;0;0;0;1;0;0;1;0;0.0010781671159029;0.0021551711604834;0.0265363927672236;0.0
GVG4;1;1;0;3;1;3;0;29;0;0;0;0;0;0;0;0;0;1;0;0.0005390835579514;0.0;0.0448024345473867;0.0
D9G9;1;1;0;3;2;5;0;34;1;1;1;0;0;0;1;0;0;1;0;0.0005390835579514;0.0;0.0683316756916049;0.0
OFYU;0;1;0;3;0;3;0;28;0;1;1;0;0;0;1;0;0;1;0;0.0021563342318059;0.0001772580340083;0.044900033886818;0.3333333333333333
YEHO;1;1;0;1;2;3;0;39;1;1;1;0;0;0;0;0;0;1;1;0.0016172506738544;3.789674058954148e-06;0.0434100907984648;0.3333333333333333
RMJ4;0;1;0;1;0;3;0;28;1;1;0;0;0;0;1;1;0;1;0;0.0005390835579514;0.0;0.046900283171521;0.0
LVVG;0;1;0;3;0;5;0;37;1;1;1;0;0;0;1;1;0;1;0;0.0026954177897574;0.0;0.0573823738670461;1.0
D6CQ;1;1;0;1;2;2;0;29;1;1;1;0;0;0;1;1;0;1;0;0.0005390835579514;0.0;0.0487413947133322;0.0
YEG1;1;1;0;1;2;3;0;25;0;1;1;0;0;0;0;0;0;1;0;0.0026954177897574;0.0011744502531233;0.0434100907984648;0.4
UJDJ;1;1;0;1;2;2;0;27;1;1;1;0;0;0;1;1;0;1;0;0.0010781671159029;0.0021551711604834;0.0375642946822728;0.0
HGSA;0;1;0;3;0;2;0;27;1;1;1;0;0;0;1;1;0;1;0;0.0032345013477088;0.002942155063161;0.0534828739476415;0.7333333333333333
ADM9;0;1;0;3;0;2;0;34;0;1;1;0;0;0;1;0;0;1;0;0.0005390835579514;0.0;0.0591593315473912;0.0
DDCU;0;1;0;1;2;3;0;37;1;1;1;0;0;0;1;0;0;0;0;0.0010781671159029;0.0;0.0412552264033449;1.0
KGR0;1;1;0;2;1;3;0;41;1;1;1;0;0;0;0;1;0;1;0;0.0010781671159029;0.0;0.0666068222621184;1.0
VVAE;0;1;0;2;1;4;0;45;0;1;1;0;0;0;0;0;0;1;0;0.0021563342318059;0.0474631960618405;0.0313890722033267;0.0
HXWE;0;1;0;3;1;2;0;26;0;1;1;0;0;0;0;0;0;1;0;0.0005390835579514;0.0;0.0405420172658725;0.0
G9Y8;1;1;0;1;2;3;0;41;1;1;0;0;0;0;0;0;0;1;0;0.0048517520215633;0.0051226509885263;0.0534797901170501;0.1111111111111111
BQTJ;0;1;0;3;1;5;0;34;0;1;0;0;0;0;0;0;0;1;0;0.0010781671159029;0.0;0.0573770491803278;1.0
VIZL;0;1;0;3;2;2;0;43;0;1;1;0;0;0;0;0;0;0;0;0.0021563342318059;0.0010772948124111;0.0258540188713431;0.5
HZAB;1;1;0;3;0;2;0;28;1;1;0;0;0;0;1;0;0;1;0;0.0010781671159029;0.0;0.0401671646962019;1.0
UYNO;0;1;0;1;1;2;0;33;0;1;1;0;0;0;0;1;0;1;0;0.0016172506738544;0.0;0.0627707092582566;1.0
V4WW;0;1;0;0;1;3;0;24;1;1;1;0;0;0;1;0;0;0;0;0.0005390835579514;0.0;0.0579036084405044;0.0
B6LY;1;1;0;3;1;3;0;37;1;1;1;0;0;0;1;0;0;0;1;0.0016172506738544;0.0;0.0522432196468302;1.0
UKBR;1;1;0;3;1;4;0;31;1;1;1;0;0;0;0;1;0;1;0;0.0021563342318059;0.0032310121337415;0.0641624295250942;0.5
A0YX;0;1;0;1;2;3;0;43;1;0;0;0;0;0;0;0;0;1;0;0.0026954177897574;0.0002729340703328;0.0711873512932688;0.8
DBUV;1;1;0;1;2;3;0;25;0;1;1;0;0;0;0;0;0;1;0;0.0016172506738544;0.0;0.0390435899054955;1.0
O7ZN;0;1;0;0;0;3;0;35;1;1;1;0;0;0;0;0;0;1;0;0.0021563342318059;0.0;0.0486289519215645;1.0
CXX7;1;1;0;1;2;2;0;69;1;1;1;0;0;0;1;0;1;0;0;0.0021563342318059;0.1164177477114613;0.06738348650514;0.0
PYIH;0;1;0;3;2;2;0;40;0;1;1;0;0;0;0;0;0;1;0;0.0010781671159029;0.0276543468336837;0.0508832565284178;0.0
LQHR;1;1;0;2;1;4;0;36;1;1;1;0;0;0;0;1;0;1;0;0.0102425876010781;0.2098917415679932;0.0751194622175427;0.2748538011695906
UVRR;1;1;0;3;1;5;0;35;0;1;1;0;0;0;0;0;0;1;0;0.0032345013477088;0.0;0.0560186024038171;1.0
QYAY;1;1;0;2;1;3;0;37;1;1;1;0;0;0;0;0;0;1;1;0.0010781671159029;0.0;0.0661342650361866;1.0
F9JA;0;1;0;3;2;2;0;31;1;1;1;0;0;0;0;0;0;1;0;0.0021563342318059;0.0;0.0507829610162067;1.0
H4J9;1;1;0;2;1;3;0;27;0;1;0;0;0;0;0;0;0;1;0;0.0021563342318059;0.010942108117502;0.0405482206872431;0.1666666666666666
LTCD;1;1;0;1;2;2;0;31;1;1;1;0;0;0;1;1;0;1;0;0.0043126684636118;0.0026264725058329;0.0363754019923131;0.4642857142857143
AWYJ;0;1;0;3;1;2;0;53;0;1;1;0;0;0;1;0;0;0;0;0.0005390835579514;0.0;0.064262454098247;0.0
SAKK;1;1;0;3;1;2;0;43;0;1;1;0;0;0;0;0;0;1;0;0.0021563342318059;0.0149972231672176;0.0633365200764818;0.0
N6VN;0;1;0;3;1;3;0;23;1;0;0;0;0;0;1;0;0;0;0;0.0010781671159029;0.0;0.0483513619184152;1.0
S6MU;0;1;0;3;1;5;0;31;1;0;1;0;0;0;1;0;0;1;0;0.0010781671159029;0.0;0.0510991129965291;1.0
NWLE;1;1;0;3;1;2;0;39;1;1;1;0;0;0;0;0;0;1;0;0.0005390835579514;0.0;0.0596079691516709;0.0
KZKM;1;1;0;2;1;5;0;37;1;1;1;0;0;0;1;0;0;1;0;0.0010781671159029;0.0;0.0573752745043456;1.0
WMLP;1;1;0;2;1;2;0;28;1;0;1;0;0;0;1;1;0;1;1;0.0010781671159029;0.0;0.0552346355407336;1.0
RMMW;0;1;0;3;0;3;0;38;0;0;0;0;0;0;0;0;0;1;0;0.0005390835579514;0.0;0.0510977054237941;0.0
A1R4;1;1;0;2;1;2;0;57;1;1;1;0;0;0;0;0;0;1;0;0.0021563342318059;0.0005389090972531;0.0562342741079819;0.3333333333333333
PWXA;1;1;0;2;1;4;0;34;1;1;1;0;0;0;0;0;0;1;1;0.0016172506738544;0.0090481699341701;0.047506850718365;0.0
ACLM;1;1;0;3;0;3;0;31;0;1;1;0;0;0;0;0;0;1;0;0.0005390835579514;0.0;0.0436162708676228;0.0
OMT4;0;1;0;2;1;4;0;30;1;1;1;0;0;0;1;0;0;0;0;0.0032345013477088;0.1674613351477246;0.0534058847239016;0.6666666666666666
LRJV;0;1;0;1;0;2;0;26;0;1;1;0;0;0;0;0;0;1;0;0.0037735849056603;0.0026834478473972;0.0485920104780615;0.4761904761904761
XVN5;0;1;0;2;1;5;0;27;0;0;0;0;0;0;0;0;0;1;0;0.0005390835579514;0.0;0.0703264207453463;0.0
K7G5;0;1;0;1;2;5;0;28;1;0;0;0;0;0;0;0;0;1;0;0.0032345013477088;0.0;0.0321864209740947;1.0
JNYX;0;1;0;3;2;5;0;57;0;0;0;0;0;0;0;0;0;1;0;0.0064690026954177;0.0;0.0511131929901906;1.0
NGUZ;1;1;0;1;0;3;0;37;0;0;0;0;0;0;0;0;0;1;0;0.0005390835579514;0.0;0.0449391927903483;0.0
B0LU;0;1;0;2;0;3;0;27;1;1;1;0;0;0;1;1;0;1;0;0.0021563342318059;0.0085968416798239;0.0483576642335766;0.1666666666666666
C9N6;1;1;0;2;1;2;0;27;0;1;0;0;0;0;0;0;0;1;0;0.0010781671159029;0.0;0.046973917447455;1.0
HUC1;1;1;0;3;1;4;0;32;0;1;1;0;0;0;1;1;0;0;1;0.0043126684636118;0.040232246358781;0.042116017709161;0.1428571428571428
PZQB;0;1;0;2;1;2;0;22;0;0;0;0;0;0;1;0;0;1;0;0.0032345013477088;0.0224368088812126;0.0442932187201528;0.2666666666666666
W1VC;0;1;0;3;1;2;0;23;1;0;0;0;0;0;1;0;0;1;0;0.0005390835579514;0.0;0.046900283171521;0.0
V1XN;1;1;0;3;0;1;0;21;1;0;0;0;0;0;1;0;0;1;0;0.0026954177897574;0.003232175205064;0.044549580921732;0.2
MAR5;1;1;0;1;2;3;0;45;0;1;1;0;0;0;1;1;0;1;0;0.0005390835579514;0.0;0.0417792792792792;0.0
ULVM;1;1;0;2;1;2;0;40;1;1;1;0;0;0;0;1;0;0;0;0.0005390835579514;0.0;0.0637829659938795;0.0
YCCF;1;0;1;2;1;1;0;39;0;1;0;0;0;0;0;1;0;1;0;0.0005390835579514;0.0;0.0456491780687075;0.0
GDTH;1;1;0;1;2;2;0;46;0;1;1;0;0;0;0;0;0;1;0;0.0005390835579514;0.0;0.0332980308388231;0.0
RXVG;1;1;0;1;2;4;0;30;1;1;1;0;0;0;0;0;0;1;0;0.0010781671159029;0.0;0.0450844574067322;1.0
DCWV;1;1;0;3;1;2;0;39;1;1;0;0;0;0;0;1;1;0;1;0.0005390835579514;0.0;0.0661319073083779;0.0
WWAE;0;1;0;1;1;4;0;34;0;1;1;0;0;0;1;0;0;0;0;0.0005390835579514;0.0;0.0240179195691016;0.0
QXVU;1;1;0;3;1;3;0;55;0;1;1;0;0;0;0;0;0;1;0;0.0005390835579514;0.0;0.0419721241741334;0.0
ZBIE;0;1;0;0;1;3;0;38;0;1;1;0;0;0;0;0;0;1;0;0.0005390835579514;0.0;0.0403033068265762;0.0
NBRL;1;1;0;3;1;2;0;37;1;1;1;0;0;0;0;1;0;1;0;0.0037735849056603;0.4738136914817621;0.073155341720235;0.1428571428571428
P9OJ;0;1;0;1;0;2;0;28;1;0;0;0;0;0;1;0;0;0;0;0.0010781671159029;0.0;0.0575158129728388;1.0
Z4KY;1;1;0;3;1;5;0;36;1;1;1;0;0;0;1;0;0;1;0;0.0032345013477088;0.0006555651508939;0.0734188237156653;0.3333333333333333
A0QY;0;0;1;3;0;1;0;34;1;1;1;0;0;0;1;0;0;0;0;0.0005390835579514;0.0;0.0314726840855106;0.0
JHQ2;0;1;0;3;0;3;0;23;0;0;0;0;0;0;0;0;0;1;0;0.0005390835579514;0.0;0.0369602901034091;0.0
HVLZ;0;1;0;1;2;2;0;39;0;1;1;1;0;0;0;0;0;1;0;0.0005390835579514;0.0;0.0332980308388231;0.0
ASOU;1;1;0;2;1;5;0;36;1;1;0;0;0;0;0;0;0;1;0;0.0026954177897574;0.0002691056272298;0.0592841163310962;0.9
ZUVV;0;1;0;3;1;3;0;32;0;1;1;0;0;0;0;0;0;1;0;0.0048517520215633;0.0016146337633789;0.0430394431554524;0.5833333333333334
VYTT;0;0;1;3;1;1;0;43;0;0;0;0;0;0;0;0;0;1;0;0.0005390835579514;0.0;0.0626160337552742;0.0
BLQ6;0;1;0;3;2;3;0;37;0;1;1;0;0;0;1;0;0;0;0;0.0016172506738544;9.692261020343086e-07;0.0370185591698263;0.0
NGXZ;1;1;0;3;2;5;0;26;1;0;0;0;0;0;1;0;0;1;0;0.0005390835579514;0.0;0.067011054114587;0.0
OFO5;1;1;0;3;2;5;0;26;1;1;0;0;0;0;1;0;0;1;0;0.0016172506738544;0.0032310121337415;0.0426632934682612;0.3333333333333333
H3BX;0;1;0;3;1;2;0;30;1;1;0;0;0;0;0;0;0;1;0;0.0005390835579514;0.0;0.0559375188468729;0.0
IRU4;1;1;0;1;1;4;0;39;1;1;1;0;0;0;0;0;0;1;1;0.0043126684636118;0.0068791019767627;0.0514306310302761;0.2857142857142857
GWWU;0;0;1;1;2;3;0;31;0;1;1;0;0;0;0;0;0;1;0;0.0010781671159029;0.0005387927901208;0.0418263810597519;0.0
RLAI;0;1;0;3;0;3;0;38;1;1;1;0;0;0;1;0;0;0;0;0.0016172506738544;0.0;0.0357301076718608;1.0
SUJI;1;1;0;3;2;2;0;32;1;1;1;0;0;0;1;0;0;1;0;0.0016172506738544;0.0021551711604834;0.0632803438630006;0.3333333333333333
EHKM;1;1;0;1;2;3;0;42;1;1;1;0;0;0;1;0;0;0;1;0.0037735849056603;0.0017935529018145;0.0537556508635678;0.4761904761904761
UFMW;0;1;0;3;1;2;0;35;1;1;1;0;0;0;0;0;0;0;0;0.0005390835579514;0.0;0.0528083810174509;0.0
G9VP;0;1;0;3;1;5;0;30;1;1;1;0;0;0;0;0;0;0;0;0.0037735849056603;0.0009615830619154;0.0508414186263224;0.4761904761904761
